Statistische gegevens
Hub 0 :
,Pfizer,Moderna,AstraZeneca, ,Aantal
Geleverde vaccins,1400000,900000,1170000
Gevacineerden per hub,,,,,969451

Hub 1 :
,Pfizer,Moderna,AstraZeneca, ,Aantal
Geleverde vaccins,2604000,690000,2613000
Gevacineerden per hub,,,,,969451


Totaal aantal gevaccineerden: ,,,,,1938902
